WMOINDEX,STATION NAME,LATITUDE,LONGITUDE,HEIGHT
48603,Alor Setar,6.200548,100.403830,3.90
48642,Batu Embun,3.971003,102.348009,59.50
48670,Batu Pahat,1.869893,102.989882,6.30
48601,Bayan Lepas,5.296877,100.272129,2.46
48602,Butterworth,5.457305,100.388288,3.33
48632,Cameron Highlands,4.484353,101.371328,1545.00
48604,Chuping,6.479785,100.260000,21.70
48617,Gong Kedak,5.798789,102.501530,8.12
48625,Lapangan Terbang Ipoh,4.566371,101.093367,40.10
48614,Kerteh,4.539953,103.429120,3.71
48650,Lapangan Terbang Antarabangsa KLIA,2.730842,101.703183,16.11
48672,Kluang,2.014939,103.316903,88.10
48615,Kota Bharu,6.163765,102.300599,4.36
48616,Kuala Krai,5.573004,102.199779,68.30
48651,Kuala Pilah,2.726771,102.249220,144.00
48618,Kuala Terengganu,5.382688,103.107708,5.20
48657,Lapangan Terbang Kuantan,3.772188,103.211796,15.23
48623,Lubuk Merbau,4.794691,100.895804,77.50
48665,Lapangan Terbang Melaka,2.255102,102.243598,8.50
48674,Mersing,2.444998,103.831096,43.60
48649,Muadzam Shah,3.053014,103.085479,33.30
48600,Pulau Langkawi,6.336623,99.726613,6.40
48679,Lapangan Terbang Antarabangsa Senai,1.638373,103.665846,37.80
48620,Sitiawan,4.221115,100.701029,6.78
48647,Lapangan Terbang Subang,3.130558,101.552496,16.64
48653,Temerloh,3.471203,102.378853,39.10
96467,Keningau,5.337358,116.136455,319.00
96471,Lapangan Terbang Antarabangsa Kota Kinabalu,5.932580,116.047425,2.14
96477,Lapangan Terbang Kudat,6.921936,116.836624,3.50
96465,Lapangan Terbang Labuan,5.307518,115.242411,27.90
96469,Ranau,5.954852,116.681647,501.00
96491,Lapangan Terbang Sandakan,5.899212,118.066483,12.09
96481,Lapangan Terbang Tawau,4.316249,118.118744,17.46
96441,Lapangan Terbang Bintulu,3.120026,113.024603,24.29
96420,Kapit,2.007896,112.929133,35.00
96413,Lapangan Terbang Antarabangsa Kuching,1.490388,110.352657,20.86
96450,Limbang,4.808588,115.007166,3.60
96449,Lapangan Terbang Miri,4.315381,113.979102,17.00
96448,Mulu,4.048365,114.809747,26.20
96421,Lapangan Terbang Sibu,2.258241,111.984990,30.90
96418,Sri Aman,1.221885,111.465810,9.60
48648,Petaling Jaya,3.102031,101.645356,61.00
41529,Pencemaran Udara Prai,5.377300,100.400100,1.00
96451,Mukah,2.889569,112.043164,38.25
