WMOINDEX,STATION NAME,YEAR,MTH,DAY,HOUR,SLP,MSLP,DRY,WET,DEWPT,RH,VIS,VISCODE,WX,DIR,SPEED,DUR,RAIN,SUN,CLOUD,AMT1,TYPE1,HEIGHT1,AMT2,TYPE2,HEIGHT2,AMT3,TYPE3,HEIGHT3,AMT4,TYPE4,HEIGHT4,AMT5,TYPE5,HEIGHT5,AMT6,TYPE6,HEIGHT6,SOLAR
48603,Alor Setar,2025,10,1,1,1009.8,1010.4,27.1,25.8,25.4,89.7,10000,60,5,0.3,30,0,0,,7,1,6,30,2,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2025,10,1,2,1009.2,1009.8,26.9,25.6,25.2,89.7,10000,60,5,1,30,0,0,,7,1,6,30,2,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2025,10,1,3,1009.1,1009.7,26.9,25.6,25.2,89.7,10000,60,5,0,0,0,0,,7,1,6,30,2,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2025,10,1,4,1008.4,1009,26.6,25.5,25.2,91.4,10000,60,5,0,0,0,0,,7,1,6,30,2,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2025,10,1,5,1008,1008.6,26.2,25.3,25,92.2,10000,60,5,0.3,40,0,0,,7,1,6,30,2,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2025,10,1,6,1008,1008.6,25.7,25,24.8,94.2,10000,60,5,1.1,20,0,0,,7,1,6,30,2,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2025,10,1,7,1008.8,1009.4,25.5,24.8,24.6,94.2,10000,60,5,1.2,110,0,0,,7,1,9,17,1,6,30,2,3,64,7,0,78,,,,,,,0
48603,Alor Setar,2025,10,1,8,1009.5,1010.1,25.8,24.8,24.5,91.9,10000,60,5,1.5,110,0,0,,7,1,9,17,2,8,20,2,3,64,7,0,78,,,,,,,0.11
48603,Alor Setar,2025,10,1,9,1010,1010.6,27.5,25.7,25.2,85.8,10000,60,5,1.5,100,0,0,,7,1,9,17,1,8,20,1,3,64,7,0,78,,,,,,,0.82
48603,Alor Setar,2025,10,1,10,1010.7,1011.3,29.3,26.4,25.6,78.5,10000,60,5,1.3,10,0,0,,7,1,9,17,1,8,20,3,3,64,7,0,78,,,,,,,1.52
48603,Alor Setar,2025,10,1,11,1011.1,1011.7,30.1,26.5,25.5,74.2,10000,60,5,1.2,110,0,0,,7,2,8,20,4,3,64,7,0,78,,,,,,,,,,1.55
48603,Alor Setar,2025,10,1,12,1010.1,1010.7,30.7,26.8,25.8,72.5,10000,60,5,1.1,30,0,0,,7,3,8,20,4,3,64,7,0,78,,,,,,,,,,1.29
48603,Alor Setar,2025,10,1,13,1009.5,1010.1,30.6,27,26.1,74.6,9000,59,15,1.4,320,0,0,,7,1,9,17,3,8,18,4,3,64,7,0,77,,,,,,,1.21
48603,Alor Setar,2025,10,1,14,1008.9,1009.5,30.5,26.9,25.9,74.5,9000,59,17,2.7,330,0,0,,7,1,9,17,3,8,18,4,3,64,7,0,78,,,,,,,1.01
48603,Alor Setar,2025,10,1,15,1008.7,1009.3,28.1,24.5,23.3,73.5,9000,59,17,2.2,250,0,0,,7,1,9,17,3,8,18,4,3,64,7,0,78,,,,,,,0.45
48603,Alor Setar,2025,10,1,16,1009.1,1009.7,25.8,24.1,23.5,86.4,8000,58,95,5.7,150,10,0.4,,7,1,9,17,3,8,18,4,3,64,7,2,75,,,,,,,0.54
48603,Alor Setar,2025,10,1,17,1007.4,1008,25.1,23.6,23.1,87.8,10000,60,29,2.2,100,50,0.2,,7,2,8,18,3,6,28,4,3,64,7,0,77,,,,,,,0.57
48603,Alor Setar,2025,10,1,18,1008.2,1008.8,25.6,23.8,23.3,86,9000,59,15,2.1,140,0,0,,7,2,8,18,3,6,28,4,3,64,7,0,77,,,,,,,0.36
48603,Alor Setar,2025,10,1,19,1009.1,1009.7,25.4,24,23.5,88.3,9000,59,15,1.9,160,0,0,,7,1,8,18,3,6,28,4,3,64,7,0,77,,,,,,,0.15
48603,Alor Setar,2025,10,1,20,1010,1010.6,24.6,23.6,23.2,91.3,9000,59,5,2.2,150,0,0,,7,3,6,28,4,3,64,7,0,77,,,,,,,,,,
48603,Alor Setar,2025,10,1,21,1010.8,1011.4,24.6,23.4,23,89.9,9000,59,5,0.6,100,0,0,,7,2,6,28,3,3,64,7,0,77,,,,,,,,,,
48603,Alor Setar,2025,10,1,22,1011.3,1011.9,24.4,23.2,22.8,90,9000,59,5,1.1,60,0,0,,7,2,6,28,3,3,64,7,0,77,,,,,,,,,,
48603,Alor Setar,2025,10,1,23,1011.3,1011.9,24.3,23.2,22.9,91,9000,59,5,0.5,50,0,0,,7,2,6,28,3,3,64,7,0,77,,,,,,,,,,
48603,Alor Setar,2025,10,1,24,1010.9,1011.5,24.4,23.2,22.8,90.1,9000,59,5,1,110,0,0,,7,2,6,28,3,3,64,7,0,77,,,,,,,,,,
48603,Alor Setar,2025,10,2,1,1010.5,1011.1,24.1,23.2,22.9,92.1,8000,58,10,0,0,0,0,,7,1,7,10,2,6,28,3,3,64,7,0,77,,,,,,,
48603,Alor Setar,2025,10,2,2,1009.5,1010.1,24,23.1,22.8,92.5,8000,58,10,0.7,70,0,0,,7,1,7,10,2,6,28,3,3,64,7,0,77,,,,,,,
48603,Alor Setar,2025,10,2,3,1009.1,1009.7,23.7,22.9,22.7,93.5,8000,58,10,0.6,70,0,0,,7,1,7,10,2,6,28,3,3,64,7,0,77,,,,,,,
48603,Alor Setar,2025,10,2,4,1008.9,1009.5,23.5,22.8,22.6,94.1,8000,58,10,0.7,250,0,0,,7,1,7,10,2,6,28,3,3,64,7,0,77,,,,,,,
48603,Alor Setar,2025,10,2,5,1009.1,1009.7,23.3,22.7,22.5,94.8,8000,58,10,0,0,0,0,,7,1,7,10,2,6,28,3,3,64,7,0,77,,,,,,,
48603,Alor Setar,2025,10,2,6,1009.6,1010.2,23.2,22.6,22.4,94.7,8000,58,10,0,0,0,0,,7,1,7,10,2,6,28,3,3,64,7,0,77,,,,,,,
48603,Alor Setar,2025,10,2,7,1010.2,1010.8,23.1,22.6,22.5,95.9,8000,58,10,0,0,0,0,,7,1,7,10,2,6,28,3,3,64,7,0,78,,,,,,,0
